,Time,State,Probability
1883,0.14573217228893293,4,0.22
1884,0.14607013084946996,1,0.07
1885,0.14607013084946996,2,0.16
1886,0.14607013084946996,3,0.53
1887,0.14607013084946996,4,0.24
1888,0.14608721008080008,1,0.08
1889,0.14608721008080008,2,0.16
1890,0.14608721008080008,3,0.54
1891,0.14608721008080008,4,0.22
1892,0.1462111409425218,1,0.08
1893,0.1462111409425218,2,0.15
1894,0.1462111409425218,3,0.56
1895,0.1462111409425218,4,0.21
1896,0.14654843124975706,1,0.07
1897,0.14654843124975706,2,0.16
1898,0.14654843124975706,3,0.57
1899,0.14654843124975706,4,0.2
1900,0.14663537804689808,1,0.06
1901,0.14663537804689808,2,0.17
1902,0.14663537804689808,3,0.56
1903,0.14663537804689808,4,0.21
1904,0.14682802978075166,1,0.06
1905,0.14682802978075166,2,0.17
1906,0.14682802978075166,3,0.56
1907,0.14682802978075166,4,0.21
1908,0.14707294862894207,1,0.05
1909,0.14707294862894207,2,0.17
1910,0.14707294862894207,3,0.57
1911,0.14707294862894207,4,0.21
1912,0.1476257617477931,1,0.04
1913,0.1476257617477931,2,0.16
1914,0.1476257617477931,3,0.58
1915,0.1476257617477931,4,0.22
1916,0.1480155489859817,1,0.04
1917,0.1480155489859817,2,0.16
1918,0.1480155489859817,3,0.56
1919,0.1480155489859817,4,0.24
1920,0.14858546814846924,1,0.04
1921,0.14858546814846924,2,0.15
1922,0.14858546814846924,3,0.56
1923,0.14858546814846924,4,0.25
1924,0.14872896686120413,1,0.03
1925,0.14872896686120413,2,0.17
1926,0.14872896686120413,3,0.55
1927,0.14872896686120413,4,0.25
1928,0.14891903607334245,1,0.03
1929,0.14891903607334245,2,0.17
1930,0.14891903607334245,3,0.53
1931,0.14891903607334245,4,0.27
1932,0.14924249392960792,1,0.04
1933,0.14924249392960792,2,0.16
1934,0.14924249392960792,3,0.52
1935,0.14924249392960792,4,0.28
1936,0.1497422663670146,1,0.04
1937,0.1497422663670146,2,0.17
1938,0.1497422663670146,3,0.52
1939,0.1497422663670146,4,0.27
1940,0.15022474825226054,1,0.04
1941,0.15022474825226054,2,0.17
1942,0.15022474825226054,3,0.54
1943,0.15022474825226054,4,0.25
1944,0.15064111376760939,1,0.03
1945,0.15064111376760939,2,0.18
1946,0.15064111376760939,3,0.53
1947,0.15064111376760939,4,0.26
1948,0.15090963440575508,1,0.03
1949,0.15090963440575508,2,0.18
1950,0.15090963440575508,3,0.53
1951,0.15090963440575508,4,0.26
1952,0.1513326069202279,1,0.03
1953,0.1513326069202279,2,0.17
1954,0.1513326069202279,3,0.55
1955,0.1513326069202279,4,0.25
1956,0.15156647405173956,1,0.03
1957,0.15156647405173956,2,0.17
1958,0.15156647405173956,3,0.55
1959,0.15156647405173956,4,0.25
1960,0.15175604018931968,1,0.03
1961,0.15175604018931968,2,0.17
1962,0.15175604018931968,3,0.57
